E_ID,F_name,L_name,Birthdate,SSN,W_ID,Hire_Date
1,Judith,Pringley,7/27/1995,329-97-9604,1,1/22/2019
2,Liane,Keppie,8/20/1995,246-98-5968,2,2/26/2019
3,Zerk,Yakovl,5/7/1985,747-05-0160,3,3/9/2019
4,Brian,Badsworth,11/22/1985,332-49-4438,1,4/6/2019
5,Dani,Sarney,8/4/1986,619-90-6992,2,4/28/2019
6,Launce,Laroze,10/13/1999,875-56-6534,3,5/25/2019
7,Deerdre,Dabes,12/9/1985,253-78-3792,1,7/18/2019
8,Brett,Pleat,6/8/1993,201-48-9403,1,7/22/2019
9,Bernelle,Aitcheson,8/28/1985,879-74-8410,3,8/17/2019
10,Ailene,Duckerin,3/18/1988,410-81-7497,2,2/8/2020
11,Carmine,Heskin,7/25/1998,335-38-5954,1,3/11/2020
12,Bartram,Rabier,12/6/1989,286-50-6306,3,3/17/2020
13,Gunilla,Jozaitis,5/18/1992,352-82-5744,2,6/9/2020
14,Avril,Vasquez,5/16/1994,317-88-3026,3,7/29/2020
15,Tamar,Smithyman,8/10/1987,759-55-5710,2,9/20/2020
16,Saloma,Thompson,11/22/1998,286-63-2198,1,1/18/2021
17,Tremaine,Menhenitt,7/30/1997,321-19-3996,3,1/21/2021
18,Analiese,Rasmus,11/15/1986,305-01-9565,3,2/14/2021
19,Blisse,Brotherick,3/31/1991,520-99-3478,2,2/24/2021
20,Allayne,Hattoe,5/22/1988,897-08-9809,1,4/2/2021
